!method	chdir
!cutoff	500
!direction	down
SNX11	-0.08862
NRIP1	-0.0873
CAB39	-0.08604
PIK3C2B	-0.08599
CD58	-0.08583
DDIT4	-0.08131
ADI1	-0.07115
MAP7	-0.07025
PTK2	-0.06791
HOXA5	-0.06773
CAT	-0.06506
PLEKHJ1	-0.06001
SRC	-0.05995
GDPD5	-0.05699
KIAA0907	-0.05618
CRKL	-0.05553
DFFB	-0.05522
LGMN	-0.05226
NR3C1	-0.05192
ADCK3	-0.05188
NFATC3	-0.05104
MTA1	-0.05047
RAB21	-0.04943
SNX7	-0.04887
HADH	-0.04858
SMC1A	-0.04769
MSH6	-0.0475
ZMIZ1	-0.04689
PLS1	-0.04647
TATDN2	-0.04597
ZNF586	-0.04432
TESK1	-0.04284
TXNL4B	-0.04192
CNOT4	-0.04139
WIPF2	-0.0409
RFC5	-0.04085
DNAJB6	-0.04073
VDAC1	-0.04008
ACAT2	-0.03978
ALDOC	-0.03908
RTN2	-0.039
SYK	-0.03866
TERT	-0.03753
NFKBIB	-0.0368
ATP5S	-0.03648
YTHDF1	-0.03634
PTPRC	-0.03596
TBC1D9B	-0.03528
CHEK1	-0.03485
CEBPA	-0.03476
TOMM70A	-0.0347
POLR1C	-0.03467
PIK3C3	-0.03443
HOOK2	-0.03407
ALDH7A1	-0.03372
MAPKAPK3	-0.03369
CENPE	-0.03311
BACE2	-0.03269
CERK	-0.03238
SPTAN1	-0.03201
PPOX	-0.03181
CETN3	-0.03108
NCK1	-0.03094
PLSCR3	-0.03083
HMGA2	-0.03056
PDLIM1	-0.03042
H2AFV	-0.03004
TFAP2A	-0.02913
RRAGA	-0.02892
NPEPL1	-0.02886
APPBP2	-0.02853
NUCB2	-0.02851
STK10	-0.02831
ST3GAL5	-0.02824
HOMER2	-0.02795
ADO	-0.02763
TBXA2R	-0.02756
TCERG1	-0.02754
IPO13	-0.02748
ATP11B	-0.02745
GNA15	-0.0268
WDTC1	-0.02671
TSC22D3	-0.02668
ABL1	-0.02654
DDR1	-0.02644
FYN	-0.02643
ACOT9	-0.02625
EIF4G1	-0.02611
BCL2	-0.02578
PPP1R13B	-0.02574
DDB2	-0.02569
SLC1A4	-0.02563
CSNK1A1	-0.02551
ORC1	-0.0249
RRP1B	-0.02488
RAI14	-0.02465
LRRC16A	-0.02446
RALB	-0.02436
RAB27A	-0.02416
P4HA2	-0.02397
DUSP11	-0.02384
EPN2	-0.02383
GNB5	-0.02382
PRKCH	-0.0236
DENND2D	-0.02334
CHAC1	-0.02333
PNP	-0.02326
MAPKAPK2	-0.0231
MUC1	-0.02292
CCNA2	-0.0229
DUSP3	-0.02278
ILK	-0.02263
AKAP8L	-0.02261
SOX2	-0.02223
MTERFD1	-0.02208
STX1A	-0.02198
KDM3A	-0.02197
PGM1	-0.02196
ERO1L	-0.02195
SATB1	-0.02191
APP	-0.0219
S100A4	-0.02157
LRPAP1	-0.02141
KIAA0196	-0.0214
ETV1	-0.02134
PCCB	-0.02127
PTPRF	-0.021
KIAA0494	-0.02098
SNX13	-0.02071
TCTN1	-0.02059
CORO1A	-0.02054
ADAM10	-0.02053
NVL	-0.02026
NMT1	-0.02023
FEZ2	-0.02012
TMEM5	-0.0201
SLC35A1	-0.02005
TMED10	-0.01992
EXT1	-0.01975
CCDC92	-0.01973
HIST1H2BK	-0.01966
TBX2	-0.01961
IKBKAP	-0.01959
VPS72	-0.01956
RAD9A	-0.01953
MBOAT7	-0.01938
MICALL1	-0.01927
SPDEF	-0.0192
ICMT	-0.01899
