!method	chdir
!cutoff	None
!direction	down
SNX11	-0.0886217
NRIP1	-0.087299
CAB39	-0.0860391
PIK3C2B	-0.0859859
CD58	-0.0858289
DDIT4	-0.0813109
ADI1	-0.0711545
MAP7	-0.0702525
PTK2	-0.0679065
HOXA5	-0.0677334
CAT	-0.0650627
PLEKHJ1	-0.060011
SRC	-0.0599549
GDPD5	-0.0569859
KIAA0907	-0.0561779
CRKL	-0.0555321
DFFB	-0.0552195
LGMN	-0.0522561
NR3C1	-0.0519228
ADCK3	-0.0518762
NFATC3	-0.0510391
MTA1	-0.0504742
RAB21	-0.0494256
SNX7	-0.0488702
HADH	-0.048581
SMC1A	-0.0476853
MSH6	-0.047498
ZMIZ1	-0.0468946
PLS1	-0.0464746
TATDN2	-0.0459688
ZNF586	-0.0443214
TESK1	-0.0428355
TXNL4B	-0.0419171
CNOT4	-0.0413874
WIPF2	-0.040901
RFC5	-0.0408526
DNAJB6	-0.0407306
VDAC1	-0.0400753
ACAT2	-0.0397787
ALDOC	-0.0390833
RTN2	-0.0389985
SYK	-0.0386614
TERT	-0.037535
NFKBIB	-0.0368021
ATP5S	-0.0364845
YTHDF1	-0.0363444
PTPRC	-0.0359622
TBC1D9B	-0.0352806
CHEK1	-0.0348507
CEBPA	-0.0347563
TOMM70A	-0.0347041
POLR1C	-0.0346732
PIK3C3	-0.0344255
HOOK2	-0.03407
ALDH7A1	-0.0337179
MAPKAPK3	-0.0336885
CENPE	-0.0331079
BACE2	-0.0326942
CERK	-0.032378
SPTAN1	-0.0320144
PPOX	-0.0318127
CETN3	-0.0310821
NCK1	-0.030936
PLSCR3	-0.0308314
HMGA2	-0.0305575
PDLIM1	-0.0304242
H2AFV	-0.0300379
TFAP2A	-0.0291318
RRAGA	-0.0289244
NPEPL1	-0.0288609
APPBP2	-0.028529
NUCB2	-0.0285093
STK10	-0.0283084
ST3GAL5	-0.0282421
HOMER2	-0.0279485
ADO	-0.027627
TBXA2R	-0.0275584
TCERG1	-0.0275388
IPO13	-0.0274814
ATP11B	-0.0274512
GNA15	-0.0267988
WDTC1	-0.026707
TSC22D3	-0.0266814
ABL1	-0.0265429
DDR1	-0.0264436
FYN	-0.0264313
ACOT9	-0.0262506
EIF4G1	-0.0261143
BCL2	-0.0257785
PPP1R13B	-0.0257438
DDB2	-0.0256947
SLC1A4	-0.0256257
CSNK1A1	-0.0255138
ORC1	-0.0249046
RRP1B	-0.0248818
RAI14	-0.0246529
LRRC16A	-0.0244617
RALB	-0.0243566
RAB27A	-0.0241605
P4HA2	-0.0239732
DUSP11	-0.0238393
EPN2	-0.023834
GNB5	-0.0238171
PRKCH	-0.0236049
DENND2D	-0.0233384
CHAC1	-0.023328
PNP	-0.0232633
MAPKAPK2	-0.0231035
MUC1	-0.0229197
CCNA2	-0.022903
DUSP3	-0.0227772
ILK	-0.0226343
AKAP8L	-0.0226127
SOX2	-0.0222344
MTERFD1	-0.0220796
STX1A	-0.0219767
KDM3A	-0.0219659
PGM1	-0.0219573
ERO1L	-0.0219478
SATB1	-0.0219107
APP	-0.0218999
S100A4	-0.0215709
LRPAP1	-0.0214106
KIAA0196	-0.021401
ETV1	-0.0213399
PCCB	-0.0212705
PTPRF	-0.0209987
KIAA0494	-0.0209786
SNX13	-0.020707
TCTN1	-0.0205903
CORO1A	-0.0205446
ADAM10	-0.0205254
NVL	-0.0202561
NMT1	-0.0202276
FEZ2	-0.0201185
TMEM5	-0.0201034
SLC35A1	-0.0200548
TMED10	-0.0199196
EXT1	-0.0197476
CCDC92	-0.0197347
HIST1H2BK	-0.0196576
TBX2	-0.0196105
IKBKAP	-0.0195923
VPS72	-0.0195568
RAD9A	-0.0195295
MBOAT7	-0.0193826
MICALL1	-0.0192724
SPDEF	-0.019203
ICMT	-0.0189868
RRS1	-0.018974
PTK2B	-0.0186575
BZW2	-0.0185425
MBTPS1	-0.0185085
FAM20B	-0.0184744
TXLNA	-0.0184429
PAFAH1B1	-0.0184357
DNMT1	-0.0183726
ATF6	-0.0183185
GNAI1	-0.018286
DECR1	-0.0182706
FKBP4	-0.0182293
SPAG7	-0.0180268
CDKN2A	-0.0179131
PAN2	-0.0178992
HMOX1	-0.0177668
MAPK9	-0.0177504
PFKL	-0.0177128
CDK2	-0.0176768
TRAK2	-0.0176615
DHDDS	-0.0175723
NGRN	-0.017538
DDX42	-0.0174862
TP53	-0.0174836
EDEM1	-0.0174496
IKBKB	-0.0174378
CASP10	-0.0173888
HOXA10	-0.017372
RPP38	-0.0173548
SESN1	-0.0173012
TCEA2	-0.0171962
PMM2	-0.0170862
PSMF1	-0.017072
PYGL	-0.0169665
TIMP2	-0.0169338
DMTF1	-0.0169248
PSRC1	-0.0169223
KIAA1279	-0.0168722
S100A13	-0.0165983
TSTA3	-0.0165923
CRK	-0.0165862
CD40	-0.0163667
COG4	-0.0162977
PLSCR1	-0.0162876
ELOVL6	-0.0162545
VPS28	-0.0162343
ZDHHC6	-0.0162082
SYNE2	-0.0161133
MEST	-0.0159592
PTPN1	-0.0159426
ITFG1	-0.0159424
APOE	-0.0158768
NFATC4	-0.0158386
PPP2R5E	-0.0158326
BID	-0.015295
TRAPPC3	-0.0151152
RAB11FIP2	-0.0150968
CBLB	-0.0148873
IQGAP1	-0.0147786
STAP2	-0.0146147
COPS7A	-0.0145223
KIF20A	-0.0144345
UBE2A	-0.0143719
HSPA4	-0.0143534
DCK	-0.0143283
PAPD7	-0.0142464
PRKCQ	-0.0141823
PCK2	-0.014101
DHRS7	-0.0139582
DNAJA3	-0.0138578
NUP62	-0.0138537
NIPSNAP1	-0.0137281
MRPS2	-0.0137238
RPA3	-0.0136189
GSTM2	-0.013562
SMC4	-0.013521
PRR7	-0.0134837
NPDC1	-0.0134837
CCDC86	-0.0133697
ARL4C	-0.0133022
CYB561	-0.0132875
CRTAP	-0.0132183
NPRL2	-0.0131823
MTFR1	-0.0130622
ATP2C1	-0.0130314
RPA2	-0.0129829
IFNAR1	-0.0129217
USP14	-0.0129214
SMAD3	-0.0129202
SLC25A4	-0.0128698
TSPAN6	-0.0126537
SORBS3	-0.0125565
IKBKE	-0.012349
LYPLA1	-0.0123243
GSTZ1	-0.012224
PKIG	-0.0121795
TMEM109	-0.0121775
PCBD1	-0.0121708
MVP	-0.0121286
APBB2	-0.0120071
ZMYM2	-0.0119295
PRKCD	-0.0119234
MRPL19	-0.0119203
IL4R	-0.0119066
CDH3	-0.0119058
