!method	chdir
!cutoff	200
!direction	down
H19	-0.100898
HBE1	-0.0939582
TXNIP	-0.0891738
CBLN2	-0.0809987
DNAH2	-0.0805339
SLC30A3	-0.0742312
ACTA2	-0.0733773
HOXB2	-0.0733149
SMYD1	-0.0694589
MYL7	-0.0688326
PANX2	-0.0660876
MEIS1	-0.0641282
RGL1	-0.0633711
RGS4	-0.0624908
HAPLN1	-0.0618414
DGKI	-0.0591981
SC5D	-0.0581684
TNC	-0.0580853
CYB5D1	-0.0575321
ACKR3	-0.0565771
VCAN	-0.0559862
RFTN1	-0.0557985
NPY	-0.0520142
PBX3	-0.0514884
RHOU	-0.0510588
VIM	-0.0507175
LYPD6B	-0.0499811
NKX3-1	-0.0479808
LRRN4	-0.0478874
SVEP1	-0.0474339
LIX1	-0.0460686
MYL4	-0.044023
MT2A	-0.0437689
SLC17A8	-0.0435265
COL22A1	-0.0415446
SYNPO2L	-0.0415365
TMEM88	-0.041494
HEY1	-0.0406618
EPHA4	-0.0406087
LEF1	-0.040315
CGNL1	-0.0401823
SOX3	-0.0398333
ALDH1A2	-0.0391325
PDGFRA	-0.0383909
IMPAD1	-0.0373884
MLLT11	-0.0369724
PAQR8	-0.0360898
LYPD6	-0.0359939
ATF7IP2	-0.035825
WNT5A	-0.0356826
CCDC3	-0.0354098
MYLK3	-0.0352147
RBM20	-0.035084
RDH10	-0.0339038
SYT4	-0.0336756
SNCAIP	-0.0334832
CREG1	-0.0330913
NAALAD2	-0.0330162
PPP1R13B	-0.0328772
MYH6	-0.0327115
GNG11	-0.0321761
TUBB6	-0.0320317
MAGEB3	-0.0318037
MT1G	-0.0317348
FRMD6	-0.0316627
LAMA1	-0.0316101
MIR503HG	-0.0314253
PKP2	-0.0312859
MEF2C	-0.0312179
ARHGDIB	-0.030979
LRRC32	-0.0308883
SH3RF2	-0.0306887
NR0B1	-0.0304543
HAND2	-0.0302073
EMILIN2	-0.0301584
NDFIP2	-0.0300445
GUCY1A3	-0.0299617
TMEM100	-0.0297793
NELFCD	-0.0296175
TMEM2	-0.0295587
RHOBTB3	-0.0293717
FZD4	-0.0292356
KIFAP3	-0.0289083
RGS2	-0.0288556
CDK6	-0.0287711
SLC47A1	-0.0286798
PRICKLE1	-0.0286676
HSPH1	-0.0286201
MMP11	-0.0283829
BAMBI	-0.0283705
LIME1	-0.0277938
RGS5	-0.0274302
PTN	-0.0273942
HMGCS1	-0.0272958
SPON1	-0.0271012
POPDC2	-0.0269967
NRP1	-0.0269266
SLC35F1	-0.0267097
LIMA1	-0.0266952
CNKSR3	-0.0266128
